FECHA_CORTE,DEPARTAMENTO,MUNICIPIO,ESTADOS,FECHA_INICIO_OPERACION,FECHA_FIN_OPERACION,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_CONECTADOS,INVERSION,META_VIGENCIA,FECHA_VIGENCIA
2023-10-31,NORTE DE SANTANDER,CUCUTILLA,EN OPERACION - DESCONECTADA,2020-05-14,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,PLANADAS,EN OPERACION - DESCONECTADA,2020-06-03,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,PLANADAS,EN OPERACION - DESCONECTADA,2020-06-03,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAQUETA,EL DONCELLO,EN OPERACION - DESCONECTADA,2020-05-11,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAQUETA,EL DONCELLO,EN OPERACION - DESCONECTADA,2020-05-11,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ATLANTICO,PIOJO,EN OPERACION - DESCONECTADA,2020-05-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,HUILA,YAGUARA,EN OPERACION - DESCONECTADA,2020-04-23,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,SILVIA,EN OPERACION - DESCONECTADA,2020-05-11,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAUCA,SILVIA,EN OPERACION - DESCONECTADA,2020-05-11,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,QUINDIO,SALENTO,EN OPERACION - DESCONECTADA,2020-05-19,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,LA UVITA,EN OPERACION - DESCONECTADA,2020-06-09,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,SUAREZ,EN OPERACION - DESCONECTADA,2020-05-16,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,ANTIOQUIA,CONCEPCION,EN OPERACION - DESCONECTADA,2020-04-18,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,GUAVIARE,CALAMAR,EN OPERACION - DESCONECTADA,2020-05-28,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,TOLIMA,AMBALEMA,EN OPERACION - DESCONECTADA,2020-05-09,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAQUETA,SAN JOSE DEL FRAGUA,EN OPERACION - DESCONECTADA,2020-05-12,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CAQUETA,SAN JOSE DEL FRAGUA,EN OPERACION - DESCONECTADA,2020-05-12,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,SUCRE,COLOSO,EN OPERACION - DESCONECTADA,2020-05-17,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,NORTE DE SANTANDER,TEORAMA,EN OPERACION - DESCONECTADA,2020-07-08,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CHOCO,MEDIO BAUDO,EN OPERACION - DESCONECTADA,2020-06-01,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CHOCO,RIO QUITO,EN OPERACION - DESCONECTADA,2020-05-19,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,PACHAVITA,EN OPERACION - DESCONECTADA,2020-06-09,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOLIVAR,CORDOBA,EN OPERACION - DESCONECTADA,2020-06-08,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,SOCOTA,EN OPERACION - DESCONECTADA,2020-06-12,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,CUNDINAMARCA,MACHETA,EN OPERACION - DESCONECTADA,2020-06-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
2023-10-31,BOYACA,BETEITIVA,EN OPERACION - DESCONECTADA,2020-06-06,2023-08-27,30,30,0,0,0,"65915373,47",,2023-12-31
