Fecha de emisión,Fecha de corte,"Cód. 
depto.",Departamento,No. de productores con acuerdos comerciales,No. de productores mujeres con acuerdos comerciales,No. de productores hombres con acuerdos comerciales,No. de productores sin definir,"Valor estimado de los acuerdos comerciales
 ($ millones)"
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,54,Norte de Santander,415,0,0,415,16991976100
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,86,Putumayo,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,63,Quindío,264,0,0,264,2295335430
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,66,Risaralda,666,0,0,666,19092734989
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,88,San Andrés y Providencia,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,68,Santander,280,0,0,280,11847619000
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,70,Sucre,447,0,0,447,8965266955
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,73,Tolima,367,0,0,367,4588262500
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,76,Valle del Cauca,669,0,0,669,20767606818
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,97,Vaupés,0,0,0,0,0
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,99,Vichada,30,0,0,30,3015751500
12/15/2021 12:00:00 AM,07/31/2019 12:00:00 AM,0,Sin información,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,91,Amazonas,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,5,Antioquia,38,0,0,38,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,81,Arauca,1,0,0,1,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,8,Atlántico,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,11,Bogotá,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,13,Bolívar,1,0,0,1,17625000
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,15,Boyacá,0,0,0,0,0
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,17,Caldas,3,0,0,3,341076000
12/15/2021 12:00:00 AM,08/31/2019 12:00:00 AM,18,Caquetá,0,0,0,0,0
